fname,lname,name,citizen,village,sex,age,yob,dthmdy,deathtime,ddthtime,dthmondd,deathdate,deathnote,deathclsnt,deathtype,deathhgtm,deathclass,ams,weather,msuccess,o2used,o2none,myear,mseason,yearseas,msmtbid,msmtterm,expldr,hired,sherpa,tibetan,expid,membid,peakid,host,deathrte,route1,route2,agency,agntid,peakexps,peakabvbc,peaksmts,allexps,allabvbc,allsmts,highexps,highabvbc,highsmts,maxhighpt,maxpeakid
Mingma Nuru,Sherpa,Mingma Nuru Sherpa (Khunde),Nepal, (Khunde),M,0,,23-Aug-75,,0,23-Aug,8/23/75,Other (5000m)(e),Death enroute BC,11,5000,1,0,0,0,0,1,1975,3,1975 Aut,No summit bid,Did Not Climb or Intend to Smt,UK (Chris Bonington),1,1,0,EVER-753-01,24,EVER,Nepal,0,,,,,0,0,0,0,0,0,0,0,0,0,
Michael (Mick),Burke,Michael (Mick) Burke,UK,,M,34,1941,26-Sep-75,14:00,14,26-Sep,9/26/75,Fall (8800m)(w),Ascending in summit bid,4,8800,4,0,1,0,1,0,1975,3,1975 Aut,,,UK (Chris Bonington),0,0,0,EVER-753-01,6,EVER,Nepal,1,SW Face-S Smt,,,,1,1,0,2,2,0,2,2,0,8230,EVER
Terry,Thompson,Terry Thompson,UK,,M,39,1937,10-Apr-76,17:00,17,10-Apr,4/10/76,Crevasse (6600m),Route preparation,5,6600,3,0,0,0,0,1,1976,1,1976 Spr,No summit bid,Accident (Death or Injury to Self or Others),UK (Tony Streather),0,0,0,EVER-761-01,33,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Ming-Ji,Shi,Ming-Ji Shi,China,,M,0,,Spr 1978,,0,,  -   -,AMS (5700m)(a),Death at BC,1,5700,2,1,0,0,0,0,1978,1,1978 Spr,No summit bid,Did Not Climb or Intend to Smt,China (Tian Bao),0,0,0,EVER-781-01,4,EVER,China,0,,,,,0,0,0,0,0,0,0,0,0,0,
Dawa Nuru,Sherpa,Dawa Nuru Sherpa (Thami),Nepal, (Thami),M,22,,18-Apr-78,13:45,13.75,18-Apr,4/18/78,Icefall Collapse (5800m),Route preparation,6,5800,3,0,0,0,0,1,1978,1,1978 Spr,No summit bid,Accident (Death or Injury to Self or Others),Austria (Wolfgang Nairz),1,1,0,EVER-781-02,16,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Ang Phu,Sherpa,Ang Phu Sherpa (Khumjung),Nepal, (Khumjung),M,28,1950,16-May-79,7:30,7.5,16-May,5/16/79,Fall (7600m),Descending from summit bid,4,7600,5,0,0,1,1,0,1979,1,1979 Spr,Successful bid,Success,Yugoslavia (Tone Skarja),1,1,0,EVER-791-01,32,EVER,Nepal,1,Lho La-W Ridge up; N Face (Hornbein)-W Ridge down,,,,0,0,0,0,0,0,0,0,0,0,
Raymond Edward (Ray),Genet,Raymond Edward (Ray) Genet,USA,,M,48,1931,3-Oct-79,,0,3-Oct,10/3/79,Exhaustion (8000m)(a),Descending from summit bid,2,8000,5,1,0,1,1,0,1979,3,1979 Aut,Successful bid,Success,W Germany (Gerhard Schmatz),0,0,0,EVER-793-01,4,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,0,0,0,0,0,0,0,
Hannelore,Schmatz,Ms. Hannelore Schmatz,W Germany,,F,39,1940,3-Oct-79,7:00,7,3-Oct,10/3/79,Exhaustion (8350m),Descending from summit bid,2,8350,5,0,0,1,1,0,1979,3,1979 Aut,Successful bid,Success,W Germany (Gerhard Schmatz),0,0,0,EVER-793-01,6,EVER,Nepal,1,S Col-SE Ridge,,,,0,0,0,2,2,0,2,2,0,5600,MANA
Nima Tashi,,Nima Tashi,China,,M,0,,12-Oct-79,,0,12-Oct,10/12/79,Avalanche (6800m),Route preparation,7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,1,EVER-793-02,10,EVER,China,2,N Col (recon to 6800m),,,,0,0,0,0,0,0,0,0,0,0,
San,Luo,San Luo,China,,M,0,,12-Oct-79,,0,12-Oct,10/12/79,Avalanche (6800m),Route preparation,7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,0,EVER-793-02,11,EVER,China,2,N Col (recon to 6800m),,,,0,0,0,0,0,0,0,0,0,0,
Hong-Bao,Wang,Hong-Bao Wang,China,,M,0,,12-Oct-79,,0,12-Oct,10/12/79,Avalanche (6800m),Route preparation,7,6800,3,0,0,0,0,1,1979,3,1979 Aut,No summit bid,Accident (Death or Injury to Self or Others),Japan (Atsuo Saito),1,0,0,EVER-793-02,12,EVER,China,2,N Col (recon to 6800m),,,,1,1,0,1,1,0,1,1,0,0,
